,reinspection,recent_inspection,task_force,special_event,canvass,closeup,liquor,fire,no_entry,complaint,license,risk,prev_fail,cumulative_failures,ever_failed,cumulative_inspections,proportion_past_failures,days_since_last_inspection,tmax,tmin,tmax_3,tmax_5,ward,police_district,cluster,crime_count_theft,crime_count_burglary,crime_count_other_crime,sanitation_violation_count,inspection_week,risk_description_All,risk_description_Missing,risk_description_Risk 1 (High),risk_description_Risk 2 (Medium),risk_description_Risk 3 (Low),conditional_approval_Missing,conditional_approval_N,conditional_approval_Y,license_status_AAC,license_status_AAI,license_status_Missing,license_status_REV,inspection_weekday_Friday,inspection_weekday_Monday,inspection_weekday_Saturday,inspection_weekday_Sunday,inspection_weekday_Thursday,inspection_weekday_Tuesday,inspection_weekday_Wednesday
1852,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,8,0.0,0.0,73.0,63.0,77.6666666667,78.2,0.0,0.0,7671.0,59.0,1.0,63.0,64.0,35,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1881,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.0,0.0,73.0,63.0,77.6666666667,78.2,27.0,12.0,6466.0,82.0,2.0,56.0,16.0,35,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1882,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0.0,0.0,73.0,63.0,77.6666666667,78.2,42.0,1.0,6473.0,127.0,10.0,133.0,23.0,35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1883,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,0.0,420.0,73.0,63.0,77.6666666667,78.2,0.0,0.0,8070.0,57.0,7.0,77.0,56.0,35,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1853,1,0,0,0,0,0,0,0,0,1,0,1,1,2,1,14,0.142857142857,2.0,73.0,63.0,77.6666666667,78.2,42.0,1.0,6273.0,167.0,3.0,161.0,17.0,35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1885,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0.0,0.0,73.0,63.0,77.6666666667,78.2,6.0,7.0,3270.0,8.0,8.0,127.0,39.0,35,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1886,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.0,0.0,73.0,63.0,77.6666666667,78.2,42.0,1.0,6474.0,306.0,6.0,310.0,13.0,35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1888,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,7,0.0,0.0,73.0,63.0,77.6666666667,78.2,20.0,0.0,3778.0,19.0,18.0,160.0,113.0,35,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1890,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,2,0.0,0.0,73.0,63.0,77.6666666667,78.2,25.0,9.0,5165.0,71.0,1.0,45.0,14.0,35,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1851,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,0.0,0.0,73.0,63.0,77.6666666667,78.2,50.0,24.0,9360.0,19.0,6.0,74.0,57.0,35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1891,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,2,0.0,0.0,73.0,63.0,77.6666666667,78.2,0.0,0.0,295.0,7.0,1.0,49.0,35.0,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1893,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.0,0.0,73.0,63.0,77.6666666667,78.2,42.0,18.0,6672.0,66.0,6.0,79.0,31.0,35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1895,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,0.0,0.0,73.0,63.0,77.6666666667,78.2,27.0,18.0,7073.0,60.0,8.0,59.0,70.0,35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1896,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0.0,21.0,73.0,63.0,77.6666666667,78.2,12.0,9.0,4757.0,9.0,7.0,92.0,53.0,35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1897,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,3,0.666666666667,8.0,73.0,63.0,77.6666666667,78.2,42.0,18.0,6672.0,66.0,6.0,79.0,31.0,35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1898,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,12,0.0,310.0,73.0,63.0,77.6666666667,78.2,0.0,0.0,7969.0,104.0,14.0,172.0,49.0,35,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1889,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0.0,0.0,73.0,63.0,77.6666666667,78.2,0.0,0.0,2863.0,26.0,6.0,92.0,109.0,35,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1892,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,8,0.0,303.0,73.0,63.0,77.6666666667,78.2,0.0,0.0,8858.0,28.0,6.0,76.0,33.0,35,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1884,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,18,0.0,83.0,73.0,63.0,77.6666666667,78.2,0.0,0.0,6774.0,99.0,4.0,153.0,42.0,35,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1878,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.0,0.0,73.0,63.0,77.6666666667,78.2,27.0,18.0,7069.0,151.0,1.0,73.0,10.0,35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1857,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,8,0.0,316.0,73.0,63.0,77.6666666667,78.2,0.0,0.0,6273.0,167.0,3.0,161.0,17.0,35,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1858,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0.0,318.0,73.0,63.0,77.6666666667,78.2,11.0,12.0,5870.0,15.0,2.0,21.0,7.0,35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1859,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,12,0.0,57.0,73.0,63.0,77.6666666667,78.2,50.0,24.0,9756.0,6.0,3.0,16.0,12.0,35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1860,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0.0,489.0,73.0,63.0,77.6666666667,78.2,3.0,1.0,5875.0,38.0,5.0,87.0,45.0,35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1862,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,11,0.0,512.0,73.0,63.0,77.6666666667,78.2,33.0,17.0,8554.0,7.0,10.0,44.0,60.0,35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1863,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,8,0.0,0.0,73.0,63.0,77.6666666667,78.2,0.0,0.0,2063.0,8.0,1.0,16.0,5.0,35,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1864,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,8,0.0,524.0,73.0,63.0,77.6666666667,78.2,4.0,2.0,4184.0,59.0,3.0,121.0,44.0,35,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1865,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,0.0,72.0,73.0,63.0,77.6666666667,78.2,44.0,19.0,7868.0,102.0,11.0,178.0,67.0,35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1866,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,0.0,0.0,73.0,63.0,77.6666666667,78.2,0.0,0.0,8369.0,20.0,6.0,52.0,37.0,35,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1879,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.0,0.0,73.0,63.0,77.6666666667,78.2,43.0,18.0,7169.0,28.0,8.0,30.0,66.0,35,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1867,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.0,0.0,73.0,63.0,77.6666666667,78.2,39.0,17.0,8745.0,9.0,1.0,12.0,12.0,35,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1869,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,6,0.0,0.0,73.0,63.0,77.6666666667,78.2,44.0,19.0,7670.0,118.0,11.0,96.0,186.0,35,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1870,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0.0,307.0,73.0,63.0,77.6666666667,78.2,42.0,18.0,6575.0,262.0,5.0,234.0,35.0,35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1871,1,0,0,0,1,0,0,0,0,0,0,1,1,4,1,13,0.307692307692,9.0,73.0,63.0,77.6666666667,78.2,2.0,18.0,7071.0,22.0,7.0,30.0,38.0,35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1872,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0.0,239.0,73.0,63.0,77.6666666667,78.2,48.0,24.0,9266.0,52.0,4.0,35.0,31.0,35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1873,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,8,0.0,308.0,73.0,63.0,77.6666666667,78.2,33.0,17.0,8655.0,18.0,13.0,111.0,33.0,35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1874,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.0,0.0,73.0,63.0,77.6666666667,78.2,0.0,0.0,8069.0,95.0,5.0,155.0,84.0,35,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1875,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,8,0.0,430.0,73.0,63.0,77.6666666667,78.2,0.0,0.0,4556.0,20.0,8.0,89.0,38.0,35,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1876,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0.0,0.0,73.0,63.0,77.6666666667,78.2,27.0,12.0,6466.0,82.0,2.0,56.0,16.0,35,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1877,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0.0,0.0,73.0,63.0,77.6666666667,78.2,0.0,0.0,8069.0,95.0,5.0,155.0,84.0,35,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1868,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.0,0.0,73.0,63.0,77.6666666667,78.2,39.0,17.0,8745.0,9.0,1.0,12.0,12.0,35,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1880,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0.0,329.0,73.0,63.0,77.6666666667,78.2,3.0,1.0,5875.0,38.0,5.0,87.0,45.0,35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1855,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,11,0.0,0.0,73.0,63.0,77.6666666667,78.2,27.0,18.0,7073.0,60.0,8.0,59.0,70.0,35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1841,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0.0,506.0,73.0,63.0,77.6666666667,78.2,44.0,19.0,7968.0,54.0,18.0,113.0,84.0,35,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
706,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.0,0.0,73.0,63.0,77.6666666667,78.2,39.0,17.0,8745.0,9.0,1.0,12.0,12.0,35,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1850,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0.0,0.0,73.0,63.0,77.6666666667,78.2,5.0,2.0,3983.0,10.0,0.0,25.0,24.0,35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1632,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.0,0.0,73.0,63.0,77.6666666667,78.2,27.0,12.0,6769.0,12.0,2.0,7.0,2.0,35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1842,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0.0,0.0,73.0,63.0,77.6666666667,78.2,17.0,8.0,3261.0,29.0,9.0,137.0,41.0,35,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1843,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,9,0.0,406.0,73.0,63.0,77.6666666667,78.2,44.0,19.0,7870.0,91.0,9.0,85.0,114.0,35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1844,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,11,0.0,268.0,73.0,63.0,77.6666666667,78.2,42.0,18.0,6775.0,611.0,5.0,341.0,24.0,35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1445,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.0,0.0,73.0,63.0,77.6666666667,78.2,43.0,18.0,7169.0,28.0,8.0,30.0,66.0,35,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1845,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,10,0.1,2.0,73.0,63.0,77.6666666667,78.2,0.0,0.0,6375.0,352.0,7.0,219.0,72.0,35,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1848,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,10,0.0,388.0,73.0,63.0,77.6666666667,78.2,41.0,16.0,8823.0,6.0,0.0,28.0,4.0,35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1847,1,0,0,0,1,0,0,0,0,0,0,1,1,3,1,14,0.214285714286,9.0,73.0,63.0,77.6666666667,78.2,42.0,1.0,6273.0,167.0,3.0,161.0,17.0,35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1849,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,4,0.0,0.0,73.0,63.0,77.6666666667,78.2,21.0,0.0,2066.0,20.0,0.0,39.0,26.0,35,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1856,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,8,0.0,485.0,73.0,63.0,77.6666666667,78.2,40.0,20.0,9064.0,13.0,4.0,45.0,51.0,35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1846,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.0,0.0,73.0,63.0,77.6666666667,78.2,0.0,0.0,6666.0,38.0,10.0,56.0,87.0,35,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1831,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,9,0.0,0.0,72.0,65.0,73.3333333333,77.0,39.0,17.0,9053.0,14.0,10.0,41.0,126.0,35,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1830,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,0.0,0.0,72.0,65.0,73.3333333333,77.0,46.0,20.0,8668.0,19.0,1.0,95.0,19.0,35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1829,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,25,0.0,140.0,72.0,65.0,73.3333333333,77.0,42.0,1.0,6477.0,46.0,4.0,94.0,7.0,35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1822,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,0.0,667.0,72.0,65.0,73.3333333333,77.0,44.0,19.0,8066.0,33.0,5.0,46.0,16.0,35,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1832,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0.0,294.0,72.0,65.0,73.3333333333,77.0,32.0,14.0,7659.0,12.0,0.0,26.0,34.0,35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1825,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0.0,0.0,72.0,65.0,73.3333333333,77.0,8.0,4.0,2886.0,12.0,8.0,107.0,44.0,35,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1827,1,0,0,0,0,0,0,0,0,0,1,2,1,2,1,3,0.666666666667,1.0,72.0,65.0,73.3333333333,77.0,6.0,7.0,3270.0,8.0,8.0,127.0,39.0,35,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1826,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0.0,386.0,72.0,65.0,73.3333333333,77.0,41.0,16.0,8727.0,0.0,1.0,11.0,9.0,35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1824,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,5,0.0,282.0,72.0,65.0,73.3333333333,77.0,42.0,1.0,6374.0,971.0,5.0,414.0,42.0,35,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1803,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7,0.0,304.0,72.0,65.0,73.3333333333,77.0,44.0,19.0,7970.0,51.0,7.0,51.0,51.0,35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1823,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,5,0.6,52.0,72.0,65.0,73.3333333333,77.0,25.0,12.0,5467.0,2.0,0.0,3.0,0.0,35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1833,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0.0,0.0,72.0,65.0,73.3333333333,77.0,27.0,11.0,6753.0,23.0,7.0,343.0,96.0,35,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1816,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,9,0.0,0.0,72.0,65.0,73.3333333333,77.0,34.0,5.0,1175.0,13.0,3.0,75.0,72.0,35,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1835,1,0,0,0,0,0,0,0,0,1,0,2,1,2,1,8,0.25,7.0,72.0,65.0,73.3333333333,77.0,6.0,6.0,2878.0,52.0,19.0,165.0,83.0,35,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1837,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,0.0,0.0,72.0,65.0,73.3333333333,77.0,27.0,18.0,7073.0,60.0,8.0,59.0,70.0,35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1838,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,5,0.2,7.0,72.0,65.0,73.3333333333,77.0,9.0,5.0,1077.0,8.0,3.0,44.0,20.0,35,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1839,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,10,0.0,561.0,72.0,65.0,73.3333333333,77.0,4.0,1.0,6275.0,352.0,6.0,377.0,26.0,35,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1840,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,10,0.0,595.0,72.0,65.0,73.3333333333,77.0,47.0,19.0,7960.0,84.0,4.0,34.0,85.0,35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1812,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,0.5,3.0,72.0,65.0,73.3333333333,77.0,43.0,18.0,7268.0,29.0,10.0,36.0,120.0,35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1720,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,12,0.0,162.0,72.0,65.0,73.3333333333,77.0,7.0,4.0,2691.0,20.0,5.0,125.0,60.0,35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1804,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,9,0.0,4.0,72.0,65.0,73.3333333333,77.0,50.0,24.0,9359.0,16.0,11.0,101.0,91.0,35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1811,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0.0,0.0,72.0,65.0,73.3333333333,77.0,27.0,12.0,6867.0,3.0,1.0,13.0,5.0,35,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1810,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,11,0.0,56.0,72.0,65.0,73.3333333333,77.0,12.0,9.0,5165.0,71.0,1.0,45.0,14.0,35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
